id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
6445,2,6.41819191,medium_utility,500.0,0.267,1171320.024,1330000000
6446,2,6.347055912,small_utility,5.0,0.264,11583.37704,13300000
6447,2,6.383407116,large_residential,0.015,0.266,34.94915396,39900
6448,2,6.383407116,medium_community,2.0,0.266,4659.887195,5320000
6449,2,6.399356365,large_residential,0.015,0.267,35.0364761,39900
6450,2,6.399356365,small_community,0.15,0.267,350.364761,399000
6451,2,6.295595646,medium_residential,0.01,0.262,22.97892411,26600
6452,2,6.295595646,large_utility,2000.0,0.262,4595784.822,5320000000
6453,2,6.322620869,large_community,5.0,0.263,11538.78309,13300000
6454,2,6.322620869,medium_utility,500.0,0.263,1153878.309,1330000000
6455,2,6.354448795,small_residential,0.005,0.265,11.59686905,13300
6456,2,6.390466213,small_utility,5.0,0.266,11662.60084,13300000
6457,2,6.390466213,small_community,0.15,0.266,349.8780252,399000
6458,2,6.354585171,small_utility,5.0,0.265,11597.11794,13300000
6459,2,6.354585171,medium_community,2.0,0.265,4638.847175,5320000
6460,2,6.302299023,large_utility,2000.0,0.263,4600678.287,5320000000
6461,2,6.302299023,medium_utility,500.0,0.263,1150169.572,1330000000
6462,2,6.331577778,medium_utility,500.0,0.264,1155512.944,1330000000
6463,2,6.360665798,medium_utility,500.0,0.265,1160821.508,1330000000
6464,2,6.360665798,large_utility,2000.0,0.265,4643286.033,5320000000
6465,2,6.281745911,small_residential,0.005,0.262,11.46418629,13300
6466,2,6.281745911,large_utility,2000.0,0.262,4585674.515,5320000000
6467,2,6.285965443,small_community,0.15,0.262,344.156608,399000
6468,2,6.285965443,small_community,0.15,0.262,344.156608,399000
6469,2,6.298082352,medium_community,2.0,0.262,4597.600117,5320000
6470,2,6.298082352,large_utility,2000.0,0.262,4597600.117,5320000000
6471,2,6.255837917,small_residential,0.005,0.261,11.4169042,13300
6472,2,6.265545368,large_community,5.0,0.261,11434.6203,13300000
6473,2,6.246271133,large_utility,2000.0,0.26,4559777.927,5320000000
6474,2,6.246271133,large_community,5.0,0.26,11399.44482,13300000
6475,2,6.234314442,large_community,5.0,0.26,11377.62386,13300000
6476,2,6.234314442,large_utility,2000.0,0.26,4551049.543,5320000000
6477,2,6.267090321,medium_residential,0.01,0.261,22.87487967,26600
